data_names,without dilation,with dilation
BME,0.0,0.0
CBF,0.17777777777777778,0.0
ChlorineConcentration,0.23742690058479532,0.1333333333333333
ECG200,0.0,0.0
ECG5000,0.3373737373737374,0.3151515151515151
ECGFiveDays,0.5356725146198831,0.36725146198830416
FreezerRegularTrain,0.3017543859649123,0.0
FreezerSmallTrain,0.3368421052631579,0.14736842105263154
Lightning7,0.0,0.0
Plane,0.7355555555555555,0.4935672514619883
SonyAIBORobotSurface1,0.0,0.0
SonyAIBORobotSurface2,0.0,0.0
Trace,0.2625386996904025,0.2625386996904025
TwoLeadECG,0.328421052631579,0.3
TwoPatterns,0.0,0.0
UMD,0.17777777777777778,0.0
Wafer,0.36725146198830416,0.17777777777777778
AVERAGE PERFORMANCE,0.2234348217192872,0.12923461532093838
WINS,11.0,0.0
TIES,7.0,7.0
