dataset,ESPRESSO,BOCD,Window,BinSeg,FLOSS,ClaSP,fluss1,fluss2,fluss3,fluss4,fluss5
Adiac,0.421,0.303,0.608,0.948,0.971,0.982,0.9707547520353909,0.8192135911352328,0.8223986813624972,0.45746213991037216,0.8134285513327476
ArrowHead,0.48,0.5,0.913,0.991,0.995,0.996,0.9947019495772963,0.9750780986589048,0.86674156088823,0.6060201628687181,0.47382352675465944
Beef,0.482,0.804,0.736,0.6920000000000001,0.935,0.848,0.9354166666666667,0.936750054301121,0.9394218295789184,0.9354166666666667,0.9380851063829786
BeetleFly,0.541,0.802,0.495,0.652,0.968,1.0,0.9677087273071105,0.6453883830022076,0.6553740860027855,0.4893860512060507,0.47280977226947185
BirdChicken,0.505,0.485,0.925,0.469,0.478,0.48,0.47770308089991315,0.47770308089991315,0.47770308089991315,0.47777777777777775,0.47770308089991315
CBF,0.435,0.619,0.7170000000000001,0.357,0.94,0.963,0.7643105365973287,0.7503261800597397,0.7498060480546958,0.5000847709679824,0.6531751310996793
Car,0.293,0.256,0.528,0.7929999999999999,0.764,0.958,0.9397442680776015,0.9455690298507463,0.9573590588770176,0.9494802997002251,0.937796907040328
Chinatown,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ChlorineConcentration,0.555,0.836,0.7440000000000001,0.53,1.0,1.0,0.9997436461895858,0.9375600651969725,0.57896770720408,0.5787974167276335,0.5787004666383636
CinCECGTorso,0.474,0.593,0.569,0.645,0.6759999999999999,0.575,0.6759824168570693,0.8518996527753108,0.6410938382319401,0.6411042626828025,0.6021864958991915
Coffee,0.524,0.492,0.591,0.8170000000000001,0.988,0.994,0.9880711462450592,0.9880711462450592,0.992031746031746,0.5847783711615487,0.9492851711026616
Computers,0.499,0.938,0.841,0.95,0.494,0.975,0.4935159817351598,0.4874374904808103,0.4895062761506276,0.4899502190879755,0.4761865514567409
CricketX,0.278,0.203,0.479,0.71,0.787,0.986,0.7874002518254477,0.583241297765049,0.40373304927350734,0.3490037852201917,0.7087843575498409
CricketY,0.246,0.208,0.515,0.8909999999999999,0.564,0.985,0.5637855788647039,0.569218827085634,0.5663969280494509,0.592346615391195,0.4475782551193558
CricketZ,0.235,0.201,0.5479999999999999,0.687,0.733,0.935,0.733173365992264,0.6161626430836923,0.3465794662376745,0.5812416372687139,0.217216503900262
Crop,0.287,0.244,0.5429999999999999,0.987,0.248,0.986,0.24763281249618901,0.2438027631009612,0.24452206242794908,0.12883931475658678,0.1568194501755823
DiatomSizeReduction,0.522,0.332,0.5429999999999999,0.949,0.964,0.947,0.9637356123931267,0.9696533093125368,0.9652326509845843,0.6244290112529297,0.4960378363452561
DistalPhalanxOutlineAgeGroup,0.7390000000000001,0.6679999999999999,0.573,0.894,0.934,0.93,0.9342348653044749,0.9355781856206666,0.9355781856206666,0.9342348653044749,0.43220999758735884
DistalPhalanxTW,0.752,0.474,0.52,0.8290000000000001,0.745,0.958,0.7452660570332204,0.7447630879262501,0.7456536539324452,0.6505145367980504,0.500613577064587
DodgerLoopDay,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ECG200,0.654,0.5720000000000001,0.7340000000000001,0.983,0.968,0.97,0.9678738938053097,0.9678738938053097,0.9678738938053097,0.9925202702702703,0.9686885084612357
ECGFiveDays,0.732,0.523,0.726,0.495,0.97,0.95,0.9698885296530424,0.9698885296530424,0.9873150714221101,0.9873150714221101,0.9313904160987488
EOGHorizontalSignal,0.373,0.962,0.638,0.623,0.408,0.922,0.407674973175976,0.4084064610386106,0.40603327865780003,0.4057058481200433,0.40654845600130657
EOGVerticalSignal,0.36,0.578,0.51,0.6609999999999999,0.342,0.662,0.34007384119016415,0.16966381330799377,0.16966381330799377,0.16966381330799377,0.16966381330799377
FaceAll,0.171,0.266,0.6509999999999999,0.7020000000000001,0.3989999999999999,0.994,0.39921707302188714,0.4013973198052911,0.16053107198145367,0.16794740379067036,0.1854576314428858
