dataset,flussOracle,fluss1,fluss2,fluss3,fluss4,fluss5,flussEnsMinALL
Adiac,0.8223986813624972,0.9707547520353909,0.8192135911352328,0.8223986813624972,0.4574621399103721,0.8134285513327476,0.9003097290781114
ArrowHead,0.9750780986589048,0.9947019495772964,0.9750780986589048,0.86674156088823,0.6060201628687181,0.4738235267546594,0.985496930254549
Beef,0.9394218295789184,0.9354166666666668,0.936750054301121,0.9394218295789184,0.9354166666666668,0.9380851063829786,0.7127727768685216
BeetleFly,0.6553740860027855,0.9677087273071104,0.6453883830022076,0.6553740860027855,0.4893860512060507,0.4728097722694718,0.9692234848484848
BirdChicken,0.4777777777777777,0.4777030808999131,0.4777030808999131,0.4777030808999131,0.4777777777777777,0.4777030808999131,0.9806558309386972
CBF,0.7503261800597397,0.7643105365973287,0.7503261800597397,0.7498060480546958,0.5000847709679824,0.6531751310996793,0.7364715422298941
Car,0.9573590588770176,0.9397442680776016,0.9455690298507464,0.9573590588770176,0.9494802997002252,0.937796907040328,0.6867847481802085
Chinatown,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ChlorineConcentration,0.9375600651969724,0.9997436461895858,0.9375600651969724,0.57896770720408,0.5787974167276335,0.5787004666383636,0.9997436461895858
CinCECGTorso,0.8518996527753108,0.6759824168570693,0.8518996527753108,0.6410938382319401,0.6411042626828025,0.6021864958991915,0.9383456061861664
Coffee,0.992031746031746,0.9880711462450592,0.9880711462450592,0.992031746031746,0.5847783711615487,0.9492851711026616,0.9880711462450592
Computers,0.4899502190879755,0.4935159817351598,0.4874374904808103,0.4895062761506276,0.4899502190879755,0.4761865514567409,0.4935159817351598
CricketX,0.7087843575498409,0.7874002518254477,0.583241297765049,0.4037330492735073,0.3490037852201917,0.7087843575498409,0.7874002518254477
CricketY,0.592346615391195,0.5637855788647039,0.569218827085634,0.5663969280494509,0.592346615391195,0.4475782551193558,0.562907665965895
CricketZ,0.6161626430836923,0.733173365992264,0.6161626430836923,0.3465794662376745,0.5812416372687139,0.217216503900262,0.733173365992264
Crop,0.244522062427949,0.247632812496189,0.2438027631009612,0.244522062427949,0.1288393147565867,0.1568194501755823,0.33636604185363456
DiatomSizeReduction,0.9696533093125368,0.9637356123931268,0.9696533093125368,0.9652326509845844,0.6244290112529297,0.4960378363452561,0.9403415520269792
DistalPhalanxOutlineAgeGroup,0.9355781856206666,0.9342348653044747,0.9355781856206666,0.9355781856206666,0.9342348653044747,0.4322099975873588,0.9342348653044749
DistalPhalanxTW,0.7456536539324452,0.7452660570332204,0.7447630879262501,0.7456536539324452,0.6505145367980504,0.500613577064587,0.6699599887552614
DodgerLoopDay,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ECG200,0.9925202702702705,0.9678738938053096,0.9678738938053096,0.9678738938053096,0.9925202702702705,0.9686885084612356,0.9565181880241858
ECGFiveDays,0.98731507142211,0.9698885296530424,0.9698885296530424,0.98731507142211,0.98731507142211,0.9313904160987488,0.9698885296530424
EOGHorizontalSignal,0.4084064610386106,0.407674973175976,0.4084064610386106,0.4060332786578,0.4057058481200433,0.4065484560013065,0.4129983292936706
EOGVerticalSignal,0.1696638133079937,0.3400738411901641,0.1696638133079937,0.1696638133079937,0.1696638133079937,0.1696638133079937,0.33547853871331085
FaceAll,0.4013973198052911,0.3992170730218871,0.4013973198052911,0.1605310719814536,0.1679474037906703,0.1854576314428858,0.39921707302188714
FaceFour,0.7958383514835466,0.7950874928284567,0.7956829251633386,0.7946360833584571,0.7957672965756798,0.7958383514835466,0.5379045034361126
FacesUCR,0.5035386986794572,0.6529558267514215,0.5035386986794572,0.3020978093269335,0.2747091967799681,0.3927001780371002,0.6686717774891491
FiftyWords,0.5714130307779731,0.5713488287104183,0.5714130307779731,0.5632679084449553,0.5571148716010261,0.5687185994076057,0.5684677548216591
Fish,0.3671776058434031,0.28819302486813,0.3636609196953218,0.3671776058434031,0.1432854572216433,0.2461444028869923,0.5801941397174646
FreezerRegularTrain,0.5171461442295603,0.5190485101894354,0.5171461442295603,0.5158117804558414,0.5158899955426728,0.5134199116102702,0.4569765675640828
GunPoint,0.2505289216383365,0.2505289216383365,0.2505289216383365,0.2505289216383365,0.2505289216383365,0.2505289216383365,0.25052892163833657
Ham,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Haptics,0.9957427728613568,0.9883321162947938,0.99362119205298,0.9957427728613568,0.9695134130146082,0.9622836795252224,0.987277811550152
Herring,0.6694177694449385,0.379821353851632,0.3484209963387869,0.6694177694449385,0.4258705141530104,0.3607521802615299,0.40016826015949586
InlineSkate,0.6723116662179159,0.5794930697870935,0.5979881153730973,0.5336716324935525,0.6689975151906478,0.6723116662179159,0.5818596453747468
InsectWingbeatSound,0.7016010802469136,0.6899781354846006,0.7016010802469136,0.489658598265896,0.4835278019137007,0.5434082382649329,0.664241804476658
ItalyPowerDemand,0.9913316708074148,0.9754307281327352,0.9742179324778322,0.962168954740272,0.9609718398299762,0.9913316708074148,0.9526307990732259
LargeKitchenAppliances,0.9648059192753646,0.9233148811462064,0.5466493002629909,0.4339513211822233,0.9648059192753646,0.5988258372248014,0.6192776370027349
Lightning2,0.9949843082747908,0.6876394753319313,0.9949843082747908,0.960387302365486,0.9850088954087206,0.9850088954087206,0.9203026969165353
Lightning7,0.7752897078495323,0.7653454188379966,0.7752897078495323,0.7545012461669145,0.7619356193555633,0.7553163209134682,0.5804897626202865
Mallat,0.5731749438961653,0.5636806219168883,0.5605315141602754,0.5731749438961653,0.5716061537191298,0.5722639158762943,0.7497555738312754
Meat,0.9893500461755028,0.9905271201752932,0.9893500461755028,0.6488119090022473,0.6521723864191499,0.6362359513156494,0.981154461502538
MedicalImages,0.9738905259863876,0.9919696761210204,0.9298099465634247,0.9738905259863876,0.5884930512835338,0.594241906909652,0.9895298496918091
MelbournePedestrian,0.3974003781585286,0.399149359552295,0.3868250902301262,0.3974003781585286,0.3014421079208936,0.3757764538925094,0.39908849026426635
MiddlePhalanxOutlineAgeGroup,0.4828219621876125,0.3310501944430077,0.4799317814799416,0.4828219621876125,0.247535877331816,0.4798565211087456,0.3463147823531415
MiddlePhalanxOutlineCorrect,0.6176736156945469,0.6167457944966074,0.6168632115991886,0.6165110906536133,0.6176736156945469,0.616445957211076,0.6153401764628507
MiddlePhalanxTW,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MoteStrain,0.9209747760490334,0.92318409723316,0.9121819338422392,0.9187699283884794,0.9198717948717948,0.9209747760490334,0.9591666666666667
NonInvasiveFetalECGThorax1,0.3374525036884499,0.3350104683395379,0.335269267840065,0.335311237749647,0.3374525036884499,0.3352817170693392,0.3353143677341173
