dataset,flussOracle,fluss1,fluss2,fluss3,fluss4,fluss5
Adiac,0.4772727272727273,0.4303977272727273,0.4772727272727273,0.4616477272727273,0.4375,0.4289772727272727
ArrowHead,0.9634794156706508,0.9947019495772964,0.9634794156706508,0.7636122177954847,0.796812749003984,0.798804780876494
Beef,0.9340849368483513,0.9354166666666668,0.9340849368483513,0.7683289756690413,0.7127727768685216,0.6592864600208806
BeetleFly,0.959375,0.5,0.5,0.5,0.6654237556242969,0.959375
BirdChicken,0.5,0.5,0.5,0.5,0.5,0.5
CBF,0.503430477838999,0.2561558886916063,0.503430477838999,0.2561558886916063,0.2561558886916063,0.2561558886916063
Car,0.7457250597371564,0.8611728395061728,0.643508506343714,0.6533166109253066,0.7457250597371564,0.7191722972972973
Chinatown,1.0,0.7041666666666667,0.3916666666666666,0.4041666666666667,0.5666666666666667,1.0
ChlorineConcentration,0.5774870418254516,0.5774870418254516,0.5774870418254516,0.5774870418254516,0.5774870418254516,0.5774870418254516
CinCECGTorso,0.3371492364727076,0.3371492364727076,0.3371492364727076,0.3371492364727076,0.3371492364727076,0.3371492364727076
Coffee,0.899,0.899,0.835,0.823,0.837,0.899
Computers,0.5,0.5,0.5,0.5,0.5,0.5
CricketX,0.2025682017107119,0.2025682017107119,0.2025682017107119,0.2025682017107119,0.2025682017107119,0.2025682017107119
CricketY,0.2019676011664561,0.2019676011664561,0.2019676011664561,0.2019676011664561,0.2019676011664561,0.2019676011664561
CricketZ,0.2018275585677713,0.2018275585677713,0.2018275585677713,0.2018275585677713,0.2018275585677713,0.2018275585677713
Crop,0.125,0.125,0.125,0.125,0.125,0.125
DiatomSizeReduction,0.608662026295437,0.7606676235503127,0.4651905100384909,0.5877803557617943,0.608662026295437,0.5614849187935035
DistalPhalanxOutlineAgeGroup,0.6684434446672208,0.9342348653044747,0.6684434446672208,0.6684434446672208,0.6684434446672208,0.6684434446672208
DistalPhalanxTW,0.7229429623807542,0.7452660570332204,0.7229429623807542,0.6354638647242536,0.474070067904573,0.474070067904573
DodgerLoopDay,1.0,1.0,1.0,1.0,1.0,1.0
ECG200,0.9670597484276728,0.9678738938053096,0.9154166666666668,0.9154166666666668,0.9670597484276728,0.8884346846846847
ECGFiveDays,0.5236294896030246,0.5236294896030246,0.5236294896030246,0.5236294896030246,0.5236294896030246,0.5236294896030246
EOGHorizontalSignal,0.4084935342854976,0.2562079700007808,0.4084935342854976,0.3493804411666932,0.3535619963331345,0.3939574561865563
EOGVerticalSignal,0.1696638133079937,0.1696638133079937,0.1696638133079937,0.1696638133079937,0.1696638133079937,0.1696638133079937
FaceAll,0.4923787726294357,0.347546346782988,0.4923787726294357,0.4094225899764234,0.2821537512083011,0.1428571428571428
FaceFour,0.8841172581978123,0.5760768817745562,0.8841172581978123,0.8737264737866383,0.8661820094596112,0.7579193547981785
FacesUCR,0.6754610077248447,0.3896344285053216,0.3731297238932592,0.4507767520840172,0.6754610077248447,0.3096366162280635
FiftyWords,0.7481972937738194,0.5835018437348738,0.7481972937738194,0.7004270028296776,0.7277150250529363,0.5455675274901716
Fish,0.1442933581706164,0.1442933581706164,0.1442933581706164,0.1442933581706164,0.1442933581706164,0.1442933581706164
FreezerRegularTrain,0.2600070896842864,0.2600070896842864,0.2600070896842864,0.2600070896842864,0.2600070896842864,0.2600070896842864
GunPoint,0.2505289216383365,0.2505289216383365,0.2505289216383365,0.2505289216383365,0.2505289216383365,0.2505289216383365
Ham,1.0,1.0,1.0,1.0,1.0,1.0
Haptics,0.8853333333333333,0.5008,0.8725333333333334,0.8853333333333333,0.8656,0.8608
Herring,0.3564206684760714,0.3564206684760714,0.3564206684760714,0.3564206684760714,0.3564206684760714,0.3564206684760714
InlineSkate,0.3575576258556638,0.3575576258556638,0.3575576258556638,0.3575576258556638,0.3575576258556638,0.3575576258556638
InsectWingbeatSound,0.7027639586553324,0.66640625,0.7027639586553324,0.5497104709035222,0.25,0.25
ItalyPowerDemand,0.9378109452736318,0.875,0.875,0.875,0.9378109452736318,0.875
LargeKitchenAppliances,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
Lightning2,0.5555555555555555,0.5555555555555555,0.5555555555555555,0.5555555555555555,0.5555555555555555,0.5555555555555555
Lightning7,0.7133492188436685,0.214767320880907,0.7133492188436685,0.5734559929826368,0.5283780075058382,0.5744255934228233
