dataset,flussEnsDil,fluss1,fluss2,fluss3,fluss4,fluss5
Adiac,0.5511363636363636,0.4303977272727273,0.4794034090909091,0.5511363636363636,0.302734375,0.302734375
ArrowHead,0.5,0.9947019495772964,0.5,0.5,0.5,0.5
Beef,0.9394218295789184,0.9354166666666668,0.936750054301121,0.9394218295789184,0.9354166666666668,0.9380851063829786
BeetleFly,0.5,0.5,0.5,0.5,0.5,0.5
BirdChicken,0.5,0.5,0.5,0.5,0.5,0.5
CBF,0.2561558886916063,0.2561558886916063,0.2561558886916063,0.2561558886916063,0.2561558886916063,0.2561558886916063
Car,0.937796907040328,0.8611728395061728,0.8682680348258707,0.8378183962264151,0.7997797008978298,0.937796907040328
Chinatown,1.0,0.7041666666666667,1.0,1.0,1.0,1.0
ChlorineConcentration,0.5774870418254516,0.5774870418254516,0.5774870418254516,0.5774870418254516,0.5774870418254516,0.5774870418254516
CinCECGTorso,0.3371492364727076,0.3371492364727076,0.3371492364727076,0.3371492364727076,0.3371492364727076,0.3371492364727076
Coffee,0.5,0.899,0.5,0.5,0.5,0.5
Computers,0.5,0.5,0.5,0.5,0.5,0.5
CricketX,0.2025682017107119,0.2025682017107119,0.2025682017107119,0.2025682017107119,0.2025682017107119,0.2025682017107119
CricketY,0.2019676011664561,0.2019676011664561,0.2019676011664561,0.2019676011664561,0.2019676011664561,0.2019676011664561
CricketZ,0.2018275585677713,0.2018275585677713,0.2018275585677713,0.2018275585677713,0.2018275585677713,0.2018275585677713
Crop,0.125,0.125,0.125,0.125,0.125,0.125
DiatomSizeReduction,0.9652326509845844,0.7606676235503127,0.7796567201676803,0.9652326509845844,0.6244290112529297,0.3421810223291696
DistalPhalanxOutlineAgeGroup,0.9355781856206666,0.9342348653044747,0.9355781856206666,0.9355781856206666,0.6684434446672208,0.6684434446672208
DistalPhalanxTW,0.474070067904573,0.7452660570332204,0.474070067904573,0.474070067904573,0.474070067904573,0.474070067904573
DodgerLoopDay,1.0,1.0,1.0,1.0,1.0,1.0
ECG200,0.9245405604719764,0.9678738938053096,0.9245405604719764,0.5721999999999999,0.5721999999999999,0.5721999999999999
ECGFiveDays,0.5236294896030246,0.5236294896030246,0.5236294896030246,0.5236294896030246,0.5236294896030246,0.5236294896030246
EOGHorizontalSignal,0.2562079700007808,0.2562079700007808,0.2562079700007808,0.2562079700007808,0.2562079700007808,0.2562079700007808
EOGVerticalSignal,0.1696638133079937,0.1696638133079937,0.1696638133079937,0.1696638133079937,0.1696638133079937,0.1696638133079937
FaceAll,0.1428571428571428,0.347546346782988,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.1428571428571428
FaceFour,0.576403729627205,0.5760768817745562,0.5760768817745562,0.5734643442760098,0.576403729627205,0.28125
FacesUCR,0.8055112798964839,0.3896344285053216,0.8055112798964839,0.1517255502466387,0.1517255502466387,0.1517255502466387
FiftyWords,0.278046978756087,0.5835018437348738,0.278046978756087,0.278046978756087,0.278046978756087,0.278046978756087
Fish,0.1442933581706164,0.1442933581706164,0.1442933581706164,0.1442933581706164,0.1442933581706164,0.1442933581706164
FreezerRegularTrain,0.2600070896842864,0.2600070896842864,0.2600070896842864,0.2600070896842864,0.2600070896842864,0.2600070896842864
GunPoint,0.2505289216383365,0.2505289216383365,0.2505289216383365,0.2505289216383365,0.2505289216383365,0.2505289216383365
Ham,1.0,1.0,1.0,1.0,1.0,1.0
Haptics,0.5008,0.5008,0.5008,0.5008,0.5008,0.5008
Herring,0.3564206684760714,0.3564206684760714,0.3564206684760714,0.3564206684760714,0.3564206684760714,0.3564206684760714
InlineSkate,0.3575576258556638,0.3575576258556638,0.3575576258556638,0.3575576258556638,0.3575576258556638,0.3575576258556638
InsectWingbeatSound,0.25,0.66640625,0.25,0.25,0.25,0.25
ItalyPowerDemand,0.9913316708074148,0.875,0.875,0.8743781094527363,0.875,0.9913316708074148
LargeKitchenAppliances,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
Lightning2,0.5555555555555555,0.5555555555555555,0.5555555555555555,0.5555555555555555,0.5555555555555555,0.5555555555555555
Lightning7,0.214767320880907,0.214767320880907,0.214767320880907,0.214767320880907,0.214767320880907,0.214767320880907
Mallat,0.573518278940344,0.5636806219168883,0.573518278940344,0.2674297606659729,0.2674297606659729,0.2674297606659729
Meat,0.6639904804308187,0.1482142857142857,0.4193452380952381,0.6639904804308187,0.3333333333333333,0.3333333333333333
MedicalImages,0.5800646856654396,0.5800646856654396,0.5800646856654396,0.5800646856654396,0.5800646856654396,0.5800646856654396
MelbournePedestrian,0.1487889273356401,0.3267350309077694,0.1487889273356401,0.1487889273356401,0.1487889273356401,0.1487889273356401
MiddlePhalanxOutlineAgeGroup,0.2501521196542204,0.2501521196542204,0.2501521196542204,0.2501521196542204,0.2501521196542204,0.2501521196542204
MiddlePhalanxOutlineCorrect,0.6606089270332788,0.584898101259287,0.6606089270332788,0.6592110260444236,0.3341370099423256,0.3341370099423256
MiddlePhalanxTW,1.0,1.0,1.0,1.0,1.0,1.0
MoteStrain,0.5,0.5,0.5,0.5,0.5,0.5
NonInvasiveFetalECGThorax1,0.5749546080933174,0.4520254466544857,0.5749546080933174,0.3351747995778321,0.1689575797179242,0.1689575797179242
NonInvasiveFetalECGThorax2,0.4083304669414905,0.4191342763352613,0.3667880517463122,0.397791251843028,0.4083304669414905,0.1452646981068532
OSULeaf,0.7573154387358573,0.7218727961342563,0.6890766618780201,0.7571120107962213,0.7571172347742806,0.7573154387358573
OliveOil,0.3652408468934911,0.6950479697193716,0.3652408468934911,0.3652408468934911,0.3652408468934911,0.3652408468934911
Plane,0.4087301587301587,0.346031746031746,0.4087301587301587,0.149750566893424,0.149750566893424,0.149750566893424
