dataset,ESPRESSO,BOCD,Window,BinSeg,FLOSS,ClaSP,fluss1,fluss2,fluss3,fluss4,fluss5
Adiac,0.421,0.303,0.608,0.948,0.971,0.982,0.9707547520353909,0.9037065613418561,0.8007397211976567,0.8736568918880732,0.7403611864035667
ArrowHead,0.48,0.5,0.913,0.991,0.995,0.996,0.9947019495772963,0.9802742156374502,0.985496930254549,0.985496930254549,0.9776728583501492
Beef,0.482,0.804,0.736,0.6920000000000001,0.935,0.848,0.9354166666666667,0.9340849368483513,0.7683289756690413,0.7127727768685216,0.6592864600208806
BeetleFly,0.541,0.802,0.495,0.652,0.968,1.0,0.9677087273071105,0.9968798676012461,0.6630532758136924,0.6654237556242969,0.9692234848484848
BirdChicken,0.505,0.485,0.925,0.469,0.478,0.48,0.47770308089991315,0.973781154870624,0.9806558309386972,0.9798896918070443,0.48053552350427353
CBF,0.435,0.619,0.7170000000000001,0.357,0.94,0.963,0.7643105365973287,0.7364715422298941,0.4985399780257182,0.6166355813926895,0.4995636685970694
Car,0.293,0.256,0.528,0.7929999999999999,0.764,0.958,0.9397442680776015,0.8746638093740169,0.6867847481802085,0.7604791580978123,0.7595224746022619
Chinatown,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ChlorineConcentration,0.555,0.836,0.7440000000000001,0.53,1.0,1.0,0.9997436461895858,0.9997436461895858,0.9984625836706824,0.5814628959398993,0.5786762698204773
CinCECGTorso,0.474,0.593,0.569,0.645,0.6759999999999999,0.575,0.6759824168570693,0.6645207623068999,0.6810636594882531,0.6120555138110095,0.6076885270406197
Coffee,0.524,0.492,0.591,0.8170000000000001,0.988,0.994,0.9880711462450592,0.9880711462450592,0.9821591355599214,0.9801960784313726,0.9801960784313726
Computers,0.499,0.938,0.841,0.95,0.494,0.975,0.4935159817351598,0.9419501425935246,0.9421181953765846,0.48866483711378694,0.48834640657297473
CricketX,0.278,0.203,0.479,0.71,0.787,0.986,0.7874002518254477,0.5653472321433474,0.5919775980817711,0.39895128023648946,0.5833125265046054
CricketY,0.246,0.208,0.515,0.8909999999999999,0.564,0.985,0.5637855788647039,0.3966336259672689,0.3948841097917321,0.3935904734835814,0.5568242234592274
CricketZ,0.235,0.201,0.5479999999999999,0.687,0.733,0.935,0.733173365992264,0.5602607728673619,0.7673948212884603,0.39986213058520237,0.48402096102197
Crop,0.287,0.244,0.5429999999999999,0.987,0.248,0.986,0.24763281249618901,0.24307392714688997,0.3346508299436141,0.3311227572883074,0.18256017014756568
DiatomSizeReduction,0.522,0.332,0.5429999999999999,0.949,0.964,0.947,0.9637356123931267,0.5052090194351277,0.9711166877275211,0.9549235618047439,0.9403415520269792
DistalPhalanxOutlineAgeGroup,0.7390000000000001,0.6679999999999999,0.573,0.894,0.934,0.93,0.9342348653044749,0.9315514993481095,0.9315514993481095,0.44144737519592575,0.4177291958277568
DistalPhalanxTW,0.752,0.474,0.52,0.8290000000000001,0.745,0.958,0.7452660570332204,0.7229429623807542,0.6699599887552614,0.6617298859828705,0.7494142507169478
DodgerLoopDay,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ECG200,0.654,0.5720000000000001,0.7340000000000001,0.983,0.968,0.97,0.9678738938053097,0.9565181880241858,0.9516790573372206,0.9670597484276728,0.9621846846846848
ECGFiveDays,0.732,0.523,0.726,0.495,0.97,0.95,0.9698885296530424,0.9552429667519181,0.9081811693332541,0.5635851770400223,0.9723551195268946
EOGHorizontalSignal,0.373,0.962,0.638,0.623,0.408,0.922,0.407674973175976,0.4084935342854976,0.4080922923658365,0.4129983292936706,0.4172229232282716
EOGVerticalSignal,0.36,0.578,0.51,0.6609999999999999,0.342,0.662,0.34007384119016415,0.3330707286316899,0.3333183932594771,0.3353190881212357,0.33547853871331085
FaceAll,0.171,0.266,0.6509999999999999,0.7020000000000001,0.3989999999999999,0.994,0.39921707302188714,0.40508226705625106,0.5475111939310464,0.4072287825859905,0.2649010815999224
FaceFour,0.532,0.49,0.377,0.597,0.795,0.7040000000000001,0.7950874928284567,0.5417898798561782,0.5379045034361126,0.5381326170482797,0.787800307179131
FacesUCR,0.2239999999999999,0.183,0.482,0.725,0.653,0.929,0.6529558267514215,0.6682686192481564,0.4660492971262443,0.5110153278904584,0.34079503054242416
FiftyWords,0.262,0.525,0.527,0.951,0.5710000000000001,0.991,0.5713488287104183,0.5705157197238973,0.5692352498066701,0.5684677548216591,0.5692352498066701
Fish,0.2189999999999999,0.263,0.561,0.636,0.288,0.963,0.28819302486813,0.42888413306351697,0.4402056617520621,0.4277277045314922,0.5370343381414859
FreezerRegularTrain,0.2739999999999999,0.7070000000000001,0.5710000000000001,0.677,0.519,0.916,0.5190485101894354,0.5157062197338831,0.4663466695345743,0.4569765675640828,0.459104403506411
GunPoint,0.482,0.478,0.8109999999999999,0.733,0.988,0.993,0.25052892163833657,0.25052892163833657,0.25052892163833657,0.25052892163833657,0.25052892163833657
Ham,0.251,0.261,0.615,0.5579999999999999,0.251,0.74,1.0,1.0,1.0,1.0,1.0
Haptics,0.424,0.542,0.598,0.726,0.38,0.924,0.9883321162947938,0.987277811550152,0.9540799476611057,0.9188913345983555,0.9090370927318295
Herring,1.0,1.0,1.0,1.0,1.0,1.0,0.379821353851632,0.5836702984489334,0.530520852035283,0.40016826015949586,0.4054406034857894
InlineSkate,0.332,0.494,0.5870000000000001,0.564,0.579,0.6659999999999999,0.5794930697870935,0.5755766347002663,0.5916669948734646,0.5781598198093675,0.5818596453747468
InsectWingbeatSound,0.249,0.25,0.513,0.985,0.69,0.98,0.6899781354846006,0.7027639586553324,0.6958042209035222,0.436931209850107,0.6261199737762239
ItalyPowerDemand,0.482,0.5,0.7509999999999999,0.993,0.975,0.986,0.9754307281327353,0.9526307990732259,0.9361469280814861,0.9084718811008249,0.9061973427923529
LargeKitchenAppliances,0.326,0.354,0.505,0.67,0.923,0.6409999999999999,0.9233148811462064,0.6192776370027349,0.5637552414719029,0.5540594807592775,0.5738071125386146
Lightning2,0.913,0.556,0.8220000000000001,0.44,0.688,0.993,0.6876394753319313,0.9468397672818851,0.9203026969165353,0.9203026969165353,0.8967862568657241
Lightning7,0.358,0.422,0.535,0.3879999999999999,0.765,0.732,0.7653454188379966,0.7733191346569406,0.5929250286158342,0.5804897626202865,0.5765537928207678
